Город,Средняя зарплата
Электроугли (Московская область),92000.0
Центральный округ,91697.0
Гидроторф,91497.0
Металлплощадка,91250.0
Дубна (Московская область),91127.0
Мексика,91010.0
Калиновка,90943.0
Староюрьево,90776.0
Истра (Московская область),90493.0
Заполярный (Ямало-Ненецкий АО),90476.0
Ленинский (Республика Саха (Якутия)),90402.0
Самтредиа,90239.0
Октябрьское (Ханты-Мансийский АО),90125.0
Высокий Мыс,90000.0
Лямина,90000.0
Бея,90000.0
Ларьяк,90000.0
Луговой,90000.0
Малый Атлым,90000.0
Каркатеевы,90000.0
Красноленинский,90000.0
Карымкары,90000.0
Коммунистический,90000.0
Казым,90000.0
Нялинское,90000.0
Мосрентген (Московская область),90000.0
Ликино-Дулево  (Московская область),90000.0
Боброво (Московская область),90000.0
Хотьково (Московская область),90000.0
Хандыга,90000.0
Лыхма,90000.0
Растуново (Московская область),90000.0
Куть-Ях,90000.0
Алексеевка (Ростовская область),90000.0
Афанасьево,89972.0
Новолеушковская,89500.0
Гянджа,89380.0
Павловский Посад (Московская область),89350.0
Балашиха (Московская область),89015.0
Омская область,88998.0
Московский (Московская область),88750.0
Босния и Герцеговина,88525.0
Дзержинский  (Московская область),88325.0
Куртамыш,88024.0
Актаныш,87933.0
Новоджерелиевская,87870.0
Санкт-Петербург,87749.0
Брест,87584.0
Ивановское (Московская область),87547.0
Советский (Новосибирская область),87500.0
Возжаевка,87500.0
Новошахтинский,87500.0
Боброво,87500.0
Краснооктябрьский (Адыгея),87500.0
Февральск (Амурская область),87350.0
Вознесенская (Краснодарский край),87000.0
Дедовск  (Московская область),86927.0
Варнавино,86757.0
Белое Море,86667.0
Дрожжино,86531.0
Яхрома (Московская область),86250.0
Икша (Московская область),86250.0
Новодеревянковская,86250.0
Глубокое (Восточно-Казахстанская область),85900.0
Змеиногорск,85856.0
Шатура (Московская область),85833.0
Сосновый Бор (Ленинградская область),85782.0
Анадырь,85545.0
Гомель,85373.0
Двуреченск,85125.0
Успенское (Московская область),85000.0
Татариново,85000.0
Патруши (Свердловская область),85000.0
Вычегодский,84982.0
Апрелевка (Московская область),84924.0
Мулино,84731.0
Далматово,84498.0
Азовская,84375.0
Кашира (Московская область),84178.0
Исток,84167.0
Мирный (Республика Саха (Якутия)),84073.0
Доминиканская Республика,83976.0
Королев (Московская область),83939.0
Березник,83924.0
Ваганово,83750.0
Лосино-Петровский  (Московская область),83600.0
Раменское (Московская область),83570.0
Калужская (Краснодарский край),83438.0
Романово,83000.0
Рустави,82881.0
Наро-Фоминск (Московская область),82846.0
Большое Козино,82825.0
Алга (Актюбинская обл),82670.0
Некрасовка,82500.0
Мосрентген,82500.0
Павловка (Павловский район Ульяновской области),82500.0
Донское (Республика Крым),82500.0
Посёлок совхоза имени Ленина,82285.0
Вад,82235.0
Сент-Винсент и Гренадины,82188.0
Воскресенск (Московская область),81847.0
"Мирный (Московская область, Люберецкий район)",81800.0
Приобье,81667.0
Октябрьский (Камчатский край),81667.0
Люберцы  (Московская область),81616.0
Буревестник,81592.0
Могойтуй,81517.0
Каргополь,81487.0
Рощино (Ленинградская область),81466.0
Талдом (Московская область),81250.0
ЛМС,81200.0
Донецк,81012.0
Зарайск (Московская область),81000.0
Диксон,80845.0
Воскресенское,80805.0
Новоаганск,80667.0
Андреевка (Хасанский район),80500.0
Жуковка (Московская область),80484.0
Дятьково,80446.0
Зеленоград,80375.0
Темясово,80333.0
Щелково (Московская область),80315.0
Лазарево (Тульская область),80188.0
Кривошеино,80167.0
Ягодное (Магаданская область),80133.0
Развилка (Московская область),80091.0
Павда,80000.0
Понтонный,80000.0
Старопышминск,80000.0
Половинный (городской округ Верхний Тагил),80000.0
Староуткинск,80000.0
Средний Бугалыш,80000.0
Пелым,80000.0
Петрокаменское,80000.0
Первомайский (Горноуральский городской округ),80000.0
Горки (Ленинский район),80000.0
Колюткино,80000.0
Лобва,80000.0
Туринская Слобода,80000.0
Чернава (Липецкая область),80000.0
Крылатовский,80000.0
Астапово,80000.0
